Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,,
45,171,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–382,journal,1999,NA,1997,secondary,Restoration of mangroves using collected three-year-old trans-plantsNA,Planting mangroves (saplings or small trees),NA,USA,USA,USA,developed,"Costs are typically primarily for small-scale experiments, while overheads are not includedNA",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,90000.00,122261.00,122261.00,122261.00,Success depends on the density of spacingNA,NA,"All monetary values in the paper have been updated to 1997 US$ values using appropriate indices (to adjust for inflation) and currency exchange rates, unless stated otherwiseNA The 1997 exchange rate is US$ 1 ˆ UK£ 0NA60NA In discounting, a ""discount rate"", currently set at 6% for
most UK government funded schemes, is used to convert all future flows of money to an equivalent ""present value""NA",,
45,172,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–382,journal,1999,NA,1997,secondary,Restoration of mangroves using purchased three-year-old trans-plantsNA,Planting mangroves (saplings or small trees),NA,USA,USA,USA,developed,"Costs are typically primarily for small-scale experiments, while overheads are not includedNA",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,510000.00,692815.00,692815.00,692815.00,Success depends on the density of spacingNA,NA,"All monetary values in the paper have been updated to 1997 US$ values using appropriate indices (to adjust for inflation) and currency exchange rates, unless stated otherwiseNA The 1997 exchange rate is US$ 1 ˆ UK£ 0NA60NA In discounting, a ""discount rate"", currently set at 6% for
most UK government funded schemes, is used to convert all future flows of money to an equivalent ""present value""NA",,
45,173,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–382,journal,1999,NA,1997,secondary,"Restoration of the tidal flushing to 400 ha of black mangrove, topographical alterations to increase tidal flow and saltwater exchange, clearance of exotic vegetation and planting of mangrovesNA See: NOAA (1997d) Coastal Restoration and ProtectionNA Lessons learnedNA National Oceanic and Atmospheric Administration, Damage
Assessment and Restoration ProgramNA Silver Springs, MDNA","Hydrological restoration - facilitation of a natural recovery, planting",Avicennia,Puerto Rico,Puerto Rico,PRI,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.00,"US$ total cost of 1,600,000",1997.00,4000.00,NA,NA,3877.00,NA,NA,"All monetary values in the paper have been updated to 1997 US$ values using appropriate indices (to adjust for inflation) and currency exchange rates, unless stated otherwiseNA The 1997 exchange rate is US$ 1 ˆ UK£ 0NA60NA In discounting, a ""discount rate"", currently set at 6% for
most UK government funded schemes, is used to convert all future flows of money to an equivalent ""present value""NA",,
46,174,"Stevenson N, Lewis III R, Burbridge P (1999) Disused shrimp ponds and mangrove rehabilitationNA In: Streever W (ed) An International Perspective on Wetland RehabilitationNA Kluwer Academic Publishers, The Netherlands, p 277–297",chapter/book,1999,NA,NA,secondary,"Experimental planting of mangrove seedlings in disused shrimp pondNA (Bunton Srethasirote, personal communication)","Habitat conversion, planting","Rhizophora apiculata, Bruguiera gymnorrhiza, Ceriops tagal",Samut Songkram,Thailand,THA,developing,Experimental planting of mangrove seedlings in disused shrimp pondNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0NA008,NA,1998.00,NA,NA,NA,NA,"Survival rates after 1 year were: 66NA67 % for Rhizophora apiculata, 41NA33% for Bruguiera gymnorrhiza, and 0% for Ceriops tagal",36,NA,,
47,175,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,"Planting of 4,100 Red Mangrove seedlings (propagules)NA Source: Davis (1940)","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"Long Key in the Dry Tortugas Islands, south-west
coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1976.00,NA,NA,NA,NA,After 1 year 80% of the seedlings survived but 32 years after planting none of them remained,80,NA,,
47,176,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,Planting of Red Mangrove seedlingsNA Source: Savage (1972),"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Tampa area of Florida,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976.00,NA,NA,NA,NA,Rate of survival was very low,NA,NA,,
47,177,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,Planting of young Red Mangrove seedlings on a high-energy site subjected to river currents and boatwakesNA Source: Teas et alNA (1975),"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"North Fork of the St Lucie River and within Charlotte Harbor
on the west coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0NA6,NA,NA,1976.00,NA,NA,NA,NA,all of 178 seedlings were lost within 7 months,0,NA,,
47,178,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,Planting of young Red Mangrove seedlings in heavy jute mesh on a moderate-energy siteNA Source: Teas et alNA (1975),"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"North Fork of the St Lucie River and within Charlotte Harbor
on the west coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1976.00,NA,NA,NA,NA,less than 10% survived after one year,9,NA,,
47,179,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,"Planting of young Red Mangrove seedlings at a low-energy site on the east coast, isolated from public accessNA Source: Teas et alNA (1975)","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"North Fork of the St Lucie River and within Charlotte Harbor
on the west coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1976.00,NA,NA,NA,NA,90 % of the plants survived after 4 years,90,NA,,
47,180,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,1976,NA,primary,Planting of 60000 propagules of Red Mangrove at a protected low-energy site,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"Charlotte Harbor, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",2,NA,NA,1976.00,NA,NA,NA,NA,"85-90% of 60,000 propagules survived after one year, and the majority of those were alive at the end of the second year",87NA5,NA,,
47,181,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,"Planting of propagules in soft substrates from a helicopter flying at 30 m and speeds of 160 km/h releasing prepared mangrove-'missiles' made from sand-filled paper bags from which the tip of the propagule projected, and in which it became oriented in its fall as a result of crepe paper 'tails' being attached to the bagNA Propagule missiles landed with the propagule in an upright position and thereby planted itNA",Planting of propagules in soft substrates from a helicopter flying at 30 m,Rhizophora mangle,southern Florida,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",0NA5,NA,NA,1976.00,NA,NA,NA,NA,Effective method since Red Mangrove propagules with roots and leaves from four to six months after such aerial planting were found,NA,NA,,
47,182,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,"Planting of small mangrove trees from nursery stock, 2,478 trees were planted by different methods: with a spacing of 0NA6-0NA9 m and also 1NA2-2NA4 mNA Source: Kinch (1975)",Planting mangroves (saplings or small trees),"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa","Roberts Bay at Marco Island, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1976.00,NA,NA,NA,NA,None of the 19 Black or White Mangroves were alive after 3 yearsNA Overall survival was 15NA7%NA Failure due to planting the mangrove trees too deeply into the water of the soft dredge-spoil which submerged the treesNA,7NA9,NA,,
47,183,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,Transplanting of 4 yr old trees protected by automobile tyresNA Source: Hannan (1975),Planting mangroves (saplings or small trees),Rhizophora mangle,"Jensen Beach, east coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976.00,NA,NA,NA,NA,"Most of the plantlings suffered from boatwake
and storm-energy erosion; a boring isopod (Sphaeroma) killed all trees planted below the mid-tide zone",NA,NA,,
47,184,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,secondary,Transplanting root-balled plants (roots enclosed in burlap together with surrounding soil) to sites at or above the mid-tide rangeNA Source: Hannan (1975),Planting mangroves (saplings or small trees),Rhizophora mangle,"Jensen Beach, east coast of Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1NA1,NA,NA,1976.00,NA,NA,NA,NA,NA,90,NA,,
47,185,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,"Transplanting small trees from a nursery to an exposed, high-wave energy siteNA",Planting mangroves (saplings or small trees),"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa","north Biscayne Bay, Julia Tuttle Causeway, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",2,NA,NA,1976.00,NA,NA,NA,NA,"After 10 months only 7 of the 320 original plants survived, while after 24 months none was alive",0,NA,,
47,186,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Transplanting small trees from the field to  a soil-filled pool watered with tap- and rain-waterNA,Planting mangroves (saplings or small trees),"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa","Miami, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",2,NA,NA,1976.00,NA,NA,NA,NA,"After 2 years the survival rates were: Red 55%, Black 33%, and White 50 %NA Most plant losses occurred in the first few weeksNA However, the plot had to be weed every 2-3 monthsNA",46,NA,,
47,187,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting nursery-grown mangroves at two low-energy canalside sitesNA ,Planting mangroves (saplings or small trees),"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa","Florida, USA",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",0NA5,NA,NA,1976.00,NA,NA,NA,NA,NA,100,NA,,
47,188,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting of whole trees (6m high) which were root-pruned by an axe or machete and move to the offset site,Planting mangroves (saplings or small trees),"Avicennia germinans, Laguncularia racemosa",Florida,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",0NA5,NA,NA,1976.00,NA,NA,NA,NA,"The trees were moved at least 50 yards (46 m), using a plywood sled, block-and-tackle, and tree-crane, before being placed in hand-prepared sites",0,NA,,
47,189,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting of propagules with a spacing of 0NA3 m,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Florida,USA,USA,developed,Planting of propagules with a spacing of 0NA3 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,10175.00,38982.00,38982.00,NA,NA,NA,NA,,
47,190,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting of propagules with a spacing of 0NA61 m,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Florida,USA,USA,developed,Planting of propagules with a spacing of 0NA61 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,2470.00,9463.00,9463.00,NA,NA,NA,NA,,
47,191,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting of propagules with a spacing of 0NA91 m,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Florida,USA,USA,developed,Planting of propagules with a spacing of 0NA91 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,1140.00,4368.00,4368.00,NA,NA,NA,NA,,
47,192,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA3 m,"Planting mangroves (seeds, seedlings or propagules)","Avicennia germinans, Laguncularia racemosa",Florida,USA,USA,developed,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA3 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,22400.00,85818.00,85818.00,NA,NA,NA,NA,,
47,193,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA61 m,"Planting mangroves (seeds, seedlings or propagules)","Avicennia germinans, Laguncularia racemosa",Florida,USA,USA,developed,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA61 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,5400.00,20688.00,20688.00,NA,NA,NA,NA,,
47,194,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA91 m,"Planting mangroves (seeds, seedlings or propagules)","Avicennia germinans, Laguncularia racemosa",Florida,USA,USA,developed,Planting from pots of seedlings collected from natural sources of mangroves with a spacing of 0NA91 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,2510.00,9616.00,9616.00,NA,NA,NA,NA,,
47,195,Teas H (1977) Ecology and restoration of mangrove shorelines in FloridaNA Environ Conserv 4:51–58,journal,1977,NA,NA,primary,Planting of 3-years-old trees grown in a nursery with a spacing of 1NA23 mNA,Planting mangroves (saplings or small trees),"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa",Florida,USA,USA,developed,Planting of 3-years-old trees grown in a nursery with a spacing of 1NA23 mNA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"The Author expresses his thanks to the University oi Miami Sea Grant Program, a NASA Institutional Grant, the General Development Corporation, Dade County, the Saga Development Corporation, the UNASNA Environmental Protection Agency, and the Everglades National Park, as well as to many student assistants, for financial support or help in carrying out the investigations which are reported on hereNA",NA,NA,NA,1976.00,216130.00,828033.00,828033.00,NA,NA,NA,NA,,
48,196,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 3 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,0,NA,,
48,197,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 6 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,0,NA,,
48,198,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 9 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,63NA3,NA,,
48,199,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 12 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,73NA3,NA,,
48,200,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 15 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,91,NA,,
48,201,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 18 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 3 oiled sitesNA,96,NA,,
48,202,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 22 months after spill and monitored for survival after 3 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",0NA3,NA,NA,1986.00,NA,NA,NA,NA,Mean survival rates from propagules planted at 2 oiled sitesNA,87NA5,NA,,
48,203,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 12 months after spill and monitored for survival after 13 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",1NA1,NA,NA,1986.00,NA,NA,NA,NA,NA,85,NA,,
48,204,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 12 months after spillNA 48-mm in diameter holes were made in the oiled soil and holes filled with nursery soil, to which fertilizer was addedNA Survival was monitored after 13 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",1NA1,NA,NA,1986.00,NA,NA,NA,NA,NA,95,NA,,
